"Source:","C:\pcb\brio_hack\brio_hack.kicad_sch"
"Date:","12/18/2023 1:45:39 PM"
"Tool:","Eeschema 7.0.9"
"Generator:","C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","34"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP"
"1","1","C1","10u","Device:C","Capacitor_SMD:C_0402_1005Metric","~",""
"2","4","C2, C3, C4, C8","1u","Device:C","Capacitor_SMD:C_0402_1005Metric","~",""
"3","1","C5","4.7u","Device:C","Capacitor_SMD:C_0402_1005Metric","~",""
"4","3","C6, C7, C9","100n","Device:C","Capacitor_SMD:C_0402_1005Metric","~",""
"5","4","D1, D2, D3, D4","ESD5Zxx","Diode:ESD5Zxx","Diode_SMD:D_SOD-523","https://www.onsemi.com/pdf/datasheet/esd5z2.5t1-d.pdf",""
"6","1","J1","Conn_01x02","Connector_Generic:Conn_01x02","Connector_PinHeader_1.00mm:PinHeader_1x02_P1.00mm_Vertical","~",""
"7","1","J2","Conn_01x04","Connector_Generic:Conn_01x04","Connector_PinHeader_1.00mm:PinHeader_1x04_P1.00mm_Vertical","~",""
"8","1","J3","Speaker","Connector_Generic:Conn_01x02","Connector_PinHeader_1.00mm:PinHeader_1x02_P1.00mm_Vertical","~",""
"9","1","J4","JST SH","Connector_Generic:Conn_01x05","Connector_JST:JST_SH_BM05B-SRSS-TB_1x05-1MP_P1.00mm_Vertical","~",""
"10","6","R1, R2, R3, R8, R9, R10","10k","Device:R","Resistor_SMD:R_0402_1005Metric","~",""
"11","2","R4, R5","100k","Device:R","Resistor_SMD:R_0402_1005Metric","~",""
"12","2","R6, R7","100","Device:R","Resistor_SMD:R_0402_1005Metric","~",""
"13","1","RV1","10k","Device:R_Potentiometer","Library:TC33X2503E","~",""
"14","1","SW1","PTS810","Switch:SW_Push","Button_Switch_SMD:SW_SPST_PTS810","~",""
"15","2","TP1, TP2","TestPoint_Small","Connector:TestPoint_Small","Library:TestPoint_Pad_D0.8mm","~",""
"16","1","U1","PAM8302AAD","Amplifier_Audio:PAM8302AAD","Package_SO:MSOP-8_3x3mm_P0.65mm","https://www.diodes.com/assets/Datasheets/PAM8302A.pdf",""
"17","1","U2","STM32G071G8Ux","MCU_ST_STM32G0:STM32G071G8Ux","Package_DFN_QFN:QFN-28_4x4mm_P0.5mm","https://www.st.com/resource/en/datasheet/stm32g071g8.pdf",""
"18","1","U3","W25Q32JVZP","Memory_Flash:W25Q32JVZP","Package_SON:WSON-8-1EP_6x5mm_P1.27mm_EP3.4x4.3mm","http://www.winbond.com/resource-files/w25q32jv%20revg%2003272018%20plus.pdf",""
